,model,bic,aic,modes
39,BAAI/bge-base-en-v1.5,-27629088.06303894,-44706916.230531596,8
40,BAAI/bge-base-en-v1.5,-24078946.50929252,-45426233.52124343,10
41,BAAI/bge-base-en-v1.5,-20146293.455044914,-45763039.31145408,12
42,izhx/udever-bloom-560m,40989040.5255401,33406293.283691715,2
43,izhx/udever-bloom-560m,46416049.858529404,31250548.164492268,4
44,izhx/udever-bloom-560m,51887184.66151817,29138928.515292287,6
45,izhx/udever-bloom-560m,57116114.66179017,26785104.063375533,8
46,izhx/udever-bloom-560m,63163021.27526867,25249256.224665277,10
47,izhx/udever-bloom-560m,64383365.232763045,18886845.72997091,12
48,NousResearch/Llama-2-7b-hf,89658777.66875088,-31399268.058245093,2
49,NousResearch/Llama-2-7b-hf,124077215.56445968,-118038883.09987265,4
50,NousResearch/Llama-2-7b-hf,196198554.30950925,-166975597.2921594,6
51,NousResearch/Llama-2-7b-hf,320365786.0652936,-163866418.4737113,8
52,NousResearch/Llama-2-7b-hf,447751461.5095509,-157538795.96679044,10
53,NousResearch/Llama-2-7b-hf,568923766.0924969,-157424544.32118082,12
54,google/gemma-7b-it,115437292.54179749,47325526.04162131,2
55,google/gemma-7b-it,140645517.62377334,4421977.413080603,4
56,google/gemma-7b-it,147483668.00222197,-56851645.918987304,6
57,google/gemma-7b-it,195763467.09314,-76683620.53858584,8
58,google/gemma-7b-it,241608163.19462293,-98950698.14761943,10
59,google/gemma-7b-it,289860091.214786,-118810543.83797294,12
60,croissantllm/CroissantCool,34721700.58788332,4435033.582756343,2
61,croissantllm/CroissantCool,58041903.75447073,-2531437.4661236033,4
62,croissantllm/CroissantCool,65409351.848183595,-25450663.587878086,6
63,croissantllm/CroissantCool,67438866.37133503,-53707823.280194014,8
64,croissantllm/CroissantCool,78400110.95787443,-73033252.90912198,10
65,croissantllm/CroissantCool,103565827.76146123,-78154210.32100251,12
66,avsolatorio/GIST-Embedding-v0,-41852498.64913486,-46121950.283252746,2
67,avsolatorio/GIST-Embedding-v0,-38129963.07695353,-46668873.55552967,4
68,avsolatorio/GIST-Embedding-v0,-33835326.38024493,-46643695.70327933,6
69,avsolatorio/GIST-Embedding-v0,-29844354.743120473,-46922182.91061313,8
70,avsolatorio/GIST-Embedding-v0,-25985377.583169118,-47332664.59512003,10
71,avsolatorio/GIST-Embedding-v0,-22147428.767568666,-47764174.62397783,12
72,jamesgpt1/sf_model_e5,-54635649.19470659,-62218396.43655497,2
73,jamesgpt1/sf_model_e5,-47238400.54869732,-62403902.242734455,4
74,jamesgpt1/sf_model_e5,-40320303.93680771,-63068560.08303359,6
75,jamesgpt1/sf_model_e5,-33253108.0067996,-63584118.60521424,8
76,jamesgpt1/sf_model_e5,-26483818.558285326,-64397583.608888716,10
77,jamesgpt1/sf_model_e5,-20048521.156202644,-65545040.65899478,12
78,Salesforce/SFR-Embedding-Mistral,232785790.40524337,111727744.67824739,2
79,Salesforce/SFR-Embedding-Mistral,240760067.39759478,-1356031.2667375505,4
80,Salesforce/SFR-Embedding-Mistral,277606419.8736112,-85567731.72805747,6
81,Salesforce/SFR-Embedding-Mistral,344042285.29842305,-140189919.24058187,8
82,Salesforce/SFR-Embedding-Mistral,491381470.2493863,-113908787.22695506,10
83,Salesforce/SFR-Embedding-Mistral,616810677.838019,-109537632.57565868,12
84,infgrad/stella-base-en-v2,-36421027.801599875,-40690479.43571776,2
85,infgrad/stella-base-en-v2,-32372482.197151877,-40911392.675728016,4
86,infgrad/stella-base-en-v2,-28788059.457488008,-41596428.780522406,6
87,infgrad/stella-base-en-v2,-24732441.714020636,-41810269.88151329,8
88,infgrad/stella-base-en-v2,-20708524.983738407,-42055811.99568932,10
89,infgrad/stella-base-en-v2,-17308844.181946624,-42925590.03835579,12
90,princeton-nlp/sup-simcse-bert-base-uncased,-10006488.392248968,-14275940.026366852,2
91,princeton-nlp/sup-simcse-bert-base-uncased,-5927013.847328911,-14465924.325905051,4
92,princeton-nlp/sup-simcse-bert-base-uncased,-2176751.083193533,-14985120.406227931,6
93,princeton-nlp/sup-simcse-bert-base-uncased,309847.42066270486,-16767980.74682995,8
94,princeton-nlp/sup-simcse-bert-base-uncased,3832428.160993479,-17514858.85095743,10
95,princeton-nlp/sup-simcse-bert-base-uncased,6485578.998059455,-19131166.85834971,12
96,sentence-transformers/average_word_embeddings_komninos,-7720728.064084161,-8376155.214237168,2
97,sentence-transformers/average_word_embeddings_komninos,-7271392.292996075,-8582253.803642461,4
98,sentence-transformers/average_word_embeddings_komninos,-6586053.418049175,-8552349.28918894,6
99,sentence-transformers/average_word_embeddings_komninos,-5899466.960825326,-8521197.19245847,8
100,sentence-transformers/average_word_embeddings_komninos,-5188344.286772709,-8465508.878899232,10
101,sentence-transformers/average_word_embeddings_komninos,-5325999.171997337,-9258598.124617238,12
102,HuggingFaceM4/tiny-random-LlamaForCausalLM,-102150.5731822556,-104349.72699570833,2
103,HuggingFaceM4/tiny-random-LlamaForCausalLM,-104303.02235749198,-108708.54032476943,4
104,HuggingFaceM4/tiny-random-LlamaForCausalLM,-102229.26045272246,-108841.14257382462,6
105,HuggingFaceM4/tiny-random-LlamaForCausalLM,-100600.57967698271,-109418.82595190959,8
106,HuggingFaceM4/tiny-random-LlamaForCausalLM,-98561.43973449394,-109586.05016324551,10
107,HuggingFaceM4/tiny-random-LlamaForCausalLM,-96353.19155942406,-109584.16614200035,12
108,sentence-transformers/LaBSE,-46012019.2313799,-50281470.86549778,2
109,sentence-transformers/LaBSE,-42139657.66188994,-50678568.14046608,4
110,sentence-transformers/LaBSE,-38092948.99222468,-50901318.31525908,6
111,sentence-transformers/LaBSE,-33691351.39780654,-50769179.56529919,8
112,sentence-transformers/LaBSE,-29650334.680619434,-50997621.69257034,10
113,sentence-transformers/LaBSE,-25655815.45626222,-51272561.312671386,12
114,SmartComponents/bge-micro-v2,-3168766.9291955098,-4240288.401534518,2
115,SmartComponents/bge-micro-v2,-2200636.3640315705,-4343686.519049959,4
116,SmartComponents/bge-micro-v2,-1227339.5785972816,-4441918.416295051,6
117,SmartComponents/bge-micro-v2,-382436.03407971654,-4668543.554456866,8
118,SmartComponents/bge-micro-v2,686537.4692825498,-4671098.73377398,10
119,SmartComponents/bge-micro-v2,1743567.7853911817,-4685597.100344729,12
120,sentence-transformers/all-mpnet-base-v2,-36538007.459582664,-40807459.09370055,2
121,sentence-transformers/all-mpnet-base-v2,-32746186.85121222,-41285097.32978836,4
122,sentence-transformers/all-mpnet-base-v2,-28792640.501642182,-41601009.82467658,6
123,sentence-transformers/all-mpnet-base-v2,-24949462.49922623,-42027290.666718885,8
124,sentence-transformers/all-mpnet-base-v2,-21458315.41650237,-42805602.42845328,10
125,sentence-transformers/all-mpnet-base-v2,-18260312.5414072,-43877058.39781637,12
126,sentence-transformers/all-distilroberta-v1,-35598734.34571378,-39868185.979831666,2
127,sentence-transformers/all-distilroberta-v1,-31858093.816901587,-40397004.295477726,4
128,sentence-transformers/all-distilroberta-v1,-27708956.95290555,-40517326.27593995,6
129,sentence-transformers/all-distilroberta-v1,-23895337.943084512,-40973166.110577166,8
130,sentence-transformers/all-distilroberta-v1,-20372005.604593657,-41719292.61654457,10
131,sentence-transformers/all-distilroberta-v1,-17279495.09924103,-42896240.955650195,12
132,jspringer/echo-mistral-7b-instruct-lasttoken,212255144.41467953,91197098.68768355,2
133,jspringer/echo-mistral-7b-instruct-lasttoken,253660300.18498915,11544201.520656824,4
134,jspringer/echo-mistral-7b-instruct-lasttoken,241367826.94169846,-121806324.6599702,6
135,jspringer/echo-mistral-7b-instruct-lasttoken,335652123.49969405,-148580081.03931087,8
136,jspringer/echo-mistral-7b-instruct-lasttoken,475211832.2780096,-130078425.19833177,10
137,jspringer/echo-mistral-7b-instruct-lasttoken,591512500.2918944,-134835810.12178326,12
138,thenlper/gte-large,-62786862.969003886,-70369610.21085227,2
139,thenlper/gte-large,-55884974.14327722,-71050475.83731435,4
140,thenlper/gte-large,-48247150.49308346,-70995406.63930935,6
141,thenlper/gte-large,-40695848.18892946,-71026858.7873441,8
142,thenlper/gte-large,-33683900.06897965,-71597665.11958304,10
143,thenlper/gte-large,-26422354.072806418,-71918873.57559855,12
144,intfloat/e5-small,-18119206.946253154,-19190728.418592162,2
145,intfloat/e5-small,-17250034.56170334,-19393084.71672173,4
146,intfloat/e5-small,-16145944.4321551,-19360523.26985287,6
147,intfloat/e5-small,-15156692.441751746,-19442799.962128896,8
148,intfloat/e5-small,-14085601.067578588,-19443237.270635117,10
149,intfloat/e5-small,-13080499.318578158,-19509664.204314068,12
150,croissantllm/base_150k,25521197.594665594,-4765469.410461387,2
151,croissantllm/base_150k,46735525.24305467,-13837815.977539659,4
152,croissantllm/base_150k,55559601.295634426,-35300414.140427254,6
153,croissantllm/base_150k,64677742.05818881,-56468947.59334023,8
154,croissantllm/base_150k,85809641.606577,-65623722.26041941,10
155,croissantllm/base_150k,103496923.03744408,-78223115.04501966,12
156,croissantllm/CroissantLLMBase,26900485.54151503,-3386181.463611951,2
157,croissantllm/CroissantLLMBase,48811320.83282908,-11762020.387765251,4
158,croissantllm/CroissantLLMBase,49984050.67049039,-40875964.76557129,6
159,croissantllm/CroissantLLMBase,60838040.94220021,-60308648.70932883,8
160,croissantllm/CroissantLLMBase,82609107.66785124,-68824256.19914517,10
161,croissantllm/CroissantLLMBase,99071797.85032324,-82648240.2321405,12
162,thenlper/gte-base,-44243129.10839307,-48512580.74251096,2
163,thenlper/gte-base,-40113725.28420957,-48652635.76278571,4
164,thenlper/gte-base,-35816981.44326659,-48625350.76630099,6
165,thenlper/gte-base,-31770019.075519692,-48847847.24301235,8
166,thenlper/gte-base,-27892596.302123845,-49239883.314074755,10
167,thenlper/gte-base,-23738162.879426066,-49354908.73583523,12
168,croissantllm/base_100k,20349021.832631946,-9937645.172495037,2
169,croissantllm/base_100k,30193112.425132923,-30380228.79546141,4
170,croissantllm/base_100k,52014043.435812086,-38845972.000249594,6
171,croissantllm/base_100k,56158638.12958479,-64988051.521944255,8
172,croissantllm/base_100k,69693973.7848151,-81739390.0821813,10
173,croissantllm/base_100k,104875572.97525758,-76844465.10720617,12
174,google/gemma-2b,11141187.953542821,-19145479.05158416,2
175,google/gemma-2b,39604851.72717036,-20968489.49342397,4
176,google/gemma-2b,54910190.25565637,-35949825.18040531,6
177,google/gemma-2b,67654658.50617185,-53492031.14535719,8
178,google/gemma-2b,78304191.5031961,-73129172.3638003,10
179,google/gemma-2b,96140605.35012498,-85579432.73233876,12
180,sentence-transformers/gtr-t5-base,-49724650.10802082,-53994101.742138706,2
181,sentence-transformers/gtr-t5-base,-45363783.4894539,-53902693.968030035,4
182,sentence-transformers/gtr-t5-base,-40682057.3307494,-53490426.6537838,6
183,sentence-transformers/gtr-t5-base,-36096983.028998435,-53174811.19649109,8
184,sentence-transformers/gtr-t5-base,-31269000.275074743,-52616287.28702565,10
185,sentence-transformers/gtr-t5-base,-26551453.411963996,-52168199.26837316,12
186,google/gemma-2b-it,29177414.862027895,-1109252.1430990882,2
187,google/gemma-2b-it,49188599.680967584,-11384741.539626747,4
188,google/gemma-2b-it,57827327.6475696,-33032687.788492084,6
189,google/gemma-2b-it,66927513.717722684,-54219175.93380636,8
190,google/gemma-2b-it,70739930.53302445,-80693433.33397196,10
191,google/gemma-2b-it,103839609.18298894,-77880428.8994748,12
192,sentence-transformers/all-MiniLM-L6-v2,-14446113.93895276,-15517635.411291769,2
193,sentence-transformers/all-MiniLM-L6-v2,-13384218.084435957,-15527268.239454346,4
194,sentence-transformers/all-MiniLM-L6-v2,-12573391.196749238,-15787970.034447007,6
195,sentence-transformers/all-MiniLM-L6-v2,-11623063.948368838,-15909171.468745988,8
196,sentence-transformers/all-MiniLM-L6-v2,-10500614.237198442,-15858250.440254971,10
197,sentence-transformers/all-MiniLM-L6-v2,-9564101.86675046,-15993266.75248637,12
198,sentence-transformers/gtr-t5-xl,-42198017.37642889,-46467469.01054677,2
199,sentence-transformers/gtr-t5-xl,-37965822.1871504,-46504732.665726535,4
200,sentence-transformers/gtr-t5-xl,-34106863.40886577,-46915232.73190017,6
201,sentence-transformers/gtr-t5-xl,-29436994.51338188,-46514822.680874534,8
202,sentence-transformers/gtr-t5-xl,-25536069.610356785,-46883356.622307695,10
203,sentence-transformers/gtr-t5-xl,-21222716.583437417,-46839462.43984658,12
204,sentence-transformers/allenai-specter,-4418522.196119627,-8687973.830237512,2
205,sentence-transformers/allenai-specter,-593522.1994036026,-9132432.677979743,4
206,sentence-transformers/allenai-specter,3426722.845777506,-9381646.477256892,6
207,sentence-transformers/allenai-specter,7393044.373488039,-9684783.794004615,8
208,sentence-transformers/allenai-specter,8440687.434776284,-12906599.577174626,10
209,sentence-transformers/allenai-specter,11743021.634753052,-13873724.221656114,12
210,jinaai/jina-embedding-s-en-v1,-34348570.837656714,-36249800.597279765,2
211,jinaai/jina-embedding-s-en-v1,-36071147.463551775,-39873614.19313825,4
212,jinaai/jina-embedding-s-en-v1,-34152302.84120627,-39856006.540756166,6
213,jinaai/jina-embedding-s-en-v1,-32301546.96546486,-39906487.63497818,8
214,jinaai/jina-embedding-s-en-v1,-30046075.956864327,-39552253.59634107,10
215,jinaai/jina-embedding-s-en-v1,-27757007.802585624,-39164422.412025794,12
216,intfloat/multilingual-e5-small,-18458110.336023852,-19529631.80836286,2
217,intfloat/multilingual-e5-small,-17571909.14956015,-19714959.30457854,4
218,intfloat/multilingual-e5-small,-16570395.892517379,-19784974.730215147,6
219,intfloat/multilingual-e5-small,-15427785.13075235,-19713892.6511295,8
220,intfloat/multilingual-e5-small,-14347687.710546486,-19705323.913603015,10
221,intfloat/multilingual-e5-small,-13478481.579046402,-19907646.464782313,12
222,WhereIsAI/UAE-Large-V1,-126669.12311551161,-7709416.364963891,2
223,WhereIsAI/UAE-Large-V1,7112601.035987452,-8052900.65804968,4
224,WhereIsAI/UAE-Large-V1,13449167.766617477,-9299088.379608408,6
225,WhereIsAI/UAE-Large-V1,17540258.55259577,-12790752.045818865,8
226,WhereIsAI/UAE-Large-V1,21515482.460525412,-16398282.590077978,10
227,WhereIsAI/UAE-Large-V1,25959114.54818473,-19537404.954607405,12
228,croissantllm/base_50k,13842716.873926103,-16443950.13120088,2
229,croissantllm/base_50k,33318643.787576184,-27254697.433018148,4
230,croissantllm/base_50k,44911551.511950225,-45948463.924111456,6
231,croissantllm/base_50k,65735682.6306376,-55411007.02089144,8
232,croissantllm/base_50k,71905887.67637683,-79527476.19061957,10
233,croissantllm/base_50k,99085982.55260246,-82634055.52986129,12
234,sentence-transformers/sentence-t5-large,-47398947.73881379,-51668399.372931674,2
235,sentence-transformers/sentence-t5-large,-43097679.96201238,-51636590.44058852,4
236,sentence-transformers/sentence-t5-large,-38652437.232563294,-51460806.55559769,6
237,sentence-transformers/sentence-t5-large,-34456162.913910985,-51533991.08140364,8
238,sentence-transformers/sentence-t5-large,-30298292.554195814,-51645579.566146724,10
239,sentence-transformers/sentence-t5-large,-25981558.297602553,-51598304.15401172,12
240,GritLM/GritLM-7B,194793604.9098026,73735559.18280661,2
241,GritLM/GritLM-7B,207065076.27941316,-35051022.38491918,4
242,GritLM/GritLM-7B,325560841.6216773,-37613309.979991406,6
243,GritLM/GritLM-7B,366777524.6331501,-117454679.90585479,8
244,GritLM/GritLM-7B,461143597.80236346,-144146659.6739779,10
245,GritLM/GritLM-7B,586365843.0216559,-139982467.39202178,12
246,croissantllm/base_5k,11243375.459669277,-19043291.545457706,2
247,croissantllm/base_5k,35134997.65507532,-25438343.565519013,4
248,croissantllm/base_5k,48214988.96482009,-42645026.47124159,6
249,croissantllm/base_5k,52479050.256066665,-68667639.39546238,8
250,croissantllm/base_5k,65572748.32088973,-85860615.54610668,10
251,croissantllm/base_5k,90678786.23175392,-91041251.85070983,12
252,intfloat/e5-large-v2,-61138656.387095064,-68721403.62894344,2
253,intfloat/e5-large-v2,-53468165.29974512,-68633666.99378225,4
254,intfloat/e5-large-v2,-46146856.65046692,-68895112.7966928,6
255,intfloat/e5-large-v2,-38631226.97798104,-68962237.57639568,8
256,intfloat/e5-large-v2,-31205843.499101743,-69119608.54970513,10
257,intfloat/e5-large-v2,-24069946.647325292,-69566466.15011743,12
258,TaylorAI/gte-tiny,-3751187.766186411,-4822709.2385254195,2
259,TaylorAI/gte-tiny,-2811479.551452912,-4954529.706471301,4
260,TaylorAI/gte-tiny,-1825563.8236197322,-5040142.661317501,6
261,TaylorAI/gte-tiny,-689106.918875101,-4975214.439252251,8
262,TaylorAI/gte-tiny,390456.6423289152,-4967179.560727615,10
263,TaylorAI/gte-tiny,1026462.3297556303,-5402702.55598028,12
