,model,cost,modes
135,sentence-transformers/average_word_embeddings_komninos,424257.0,8
136,HuggingFaceM4/tiny-random-LlamaForCausalLM,111287.234375,1
137,HuggingFaceM4/tiny-random-LlamaForCausalLM,111317.828125,2
138,HuggingFaceM4/tiny-random-LlamaForCausalLM,112281.9375,3
139,HuggingFaceM4/tiny-random-LlamaForCausalLM,111276.5625,4
140,HuggingFaceM4/tiny-random-LlamaForCausalLM,111277.625,5
141,HuggingFaceM4/tiny-random-LlamaForCausalLM,111276.390625,6
142,HuggingFaceM4/tiny-random-LlamaForCausalLM,116192.53125,7
143,HuggingFaceM4/tiny-random-LlamaForCausalLM,112555.84375,8
144,sentence-transformers/LaBSE,114960.296875,1
145,sentence-transformers/LaBSE,114961.203125,2
146,sentence-transformers/LaBSE,114959.765625,3
147,sentence-transformers/LaBSE,114959.28125,4
148,sentence-transformers/LaBSE,114960.140625,5
149,sentence-transformers/LaBSE,114960.921875,6
150,sentence-transformers/LaBSE,114959.703125,7
151,sentence-transformers/LaBSE,114959.1328125,8
152,SmartComponents/bge-micro-v2,2595162.5,1
153,SmartComponents/bge-micro-v2,2611644.0,2
154,SmartComponents/bge-micro-v2,2595135.25,3
155,SmartComponents/bge-micro-v2,2595027.75,4
156,SmartComponents/bge-micro-v2,2599193.25,5
157,SmartComponents/bge-micro-v2,2595005.5,6
158,SmartComponents/bge-micro-v2,2594981.5,7
159,SmartComponents/bge-micro-v2,2595092.0,8
160,sentence-transformers/all-mpnet-base-v2,142901.9375,1
161,sentence-transformers/all-mpnet-base-v2,142897.375,2
162,sentence-transformers/all-mpnet-base-v2,142901.890625,3
163,sentence-transformers/all-mpnet-base-v2,142904.875,4
164,sentence-transformers/all-mpnet-base-v2,142907.53125,5
165,sentence-transformers/all-mpnet-base-v2,142920.03125,6
166,sentence-transformers/all-mpnet-base-v2,142893.828125,7
167,sentence-transformers/all-mpnet-base-v2,142887.25,8
168,sentence-transformers/all-distilroberta-v1,144016.8125,1
169,sentence-transformers/all-distilroberta-v1,143917.671875,2
170,sentence-transformers/all-distilroberta-v1,144017.3125,3
171,sentence-transformers/all-distilroberta-v1,143753.09375,4
172,sentence-transformers/all-distilroberta-v1,144452.8125,5
173,sentence-transformers/all-distilroberta-v1,144008.71875,6
174,sentence-transformers/all-distilroberta-v1,143832.375,7
175,sentence-transformers/all-distilroberta-v1,144014.59375,8
176,jspringer/echo-mistral-7b-instruct-lasttoken,3045332224.0,1
177,jspringer/echo-mistral-7b-instruct-lasttoken,3040363008.0,2
178,jspringer/echo-mistral-7b-instruct-lasttoken,3039939584.0,3
179,jspringer/echo-mistral-7b-instruct-lasttoken,3039899392.0,4
180,jspringer/echo-mistral-7b-instruct-lasttoken,3040049664.0,5
181,jspringer/echo-mistral-7b-instruct-lasttoken,3040003072.0,6
182,jspringer/echo-mistral-7b-instruct-lasttoken,3039916544.0,7
183,jspringer/echo-mistral-7b-instruct-lasttoken,3039857408.0,8
184,thenlper/gte-large,44360.38671875,1
185,thenlper/gte-large,44752.421875,2
186,thenlper/gte-large,44284.9296875,3
187,thenlper/gte-large,44354.5234375,4
188,thenlper/gte-large,44290.15625,5
189,thenlper/gte-large,44288.8671875,6
190,thenlper/gte-large,44356.640625,7
191,thenlper/gte-large,44287.3359375,8
192,intfloat/e5-small,40495.15625,1
193,intfloat/e5-small,40494.9765625,2
194,intfloat/e5-small,40496.0234375,3
195,intfloat/e5-small,40515.05859375,4
196,intfloat/e5-small,40527.5,5
197,intfloat/e5-small,40494.484375,6
198,intfloat/e5-small,40494.3515625,7
199,intfloat/e5-small,40494.71875,8
200,croissantllm/base_150k,71639656.0,1
201,croissantllm/base_150k,71646736.0,2
202,croissantllm/base_150k,71626688.0,3
203,croissantllm/base_150k,71649984.0,4
204,croissantllm/base_150k,71651536.0,5
205,croissantllm/base_150k,71627136.0,6
206,croissantllm/base_150k,71626992.0,7
207,croissantllm/base_150k,71633104.0,8
208,croissantllm/CroissantLLMBase,77183744.0,1
209,croissantllm/CroissantLLMBase,77162048.0,2
210,croissantllm/CroissantLLMBase,77193272.0,3
211,croissantllm/CroissantLLMBase,77160792.0,4
212,croissantllm/CroissantLLMBase,77161936.0,5
213,croissantllm/CroissantLLMBase,77183024.0,6
214,croissantllm/CroissantLLMBase,77170928.0,7
215,croissantllm/CroissantLLMBase,77176944.0,8
216,thenlper/gte-base,44874.76171875,1
217,thenlper/gte-base,44805.78125,2
218,thenlper/gte-base,44806.046875,3
219,thenlper/gte-base,44708.890625,4
220,thenlper/gte-base,44725.390625,5
221,thenlper/gte-base,44805.5,6
222,thenlper/gte-base,44709.41015625,7
223,thenlper/gte-base,44871.5234375,8
224,croissantllm/base_100k,54962604.0,1
225,croissantllm/base_100k,54975744.0,2
226,croissantllm/base_100k,54965208.0,3
227,croissantllm/base_100k,54972568.0,4
228,croissantllm/base_100k,54967304.0,5
229,croissantllm/base_100k,63968536.0,6
230,croissantllm/base_100k,54970432.0,7
231,croissantllm/base_100k,54979872.0,8
232,google/gemma-2b,89424928.0,1
233,google/gemma-2b,90267200.0,2
234,google/gemma-2b,89420112.0,3
235,google/gemma-2b,89304440.0,4
236,google/gemma-2b,90273168.0,5
237,google/gemma-2b,89317488.0,6
238,google/gemma-2b,89432448.0,7
239,google/gemma-2b,89342128.0,8
240,sentence-transformers/gtr-t5-base,74654.421875,1
241,sentence-transformers/gtr-t5-base,74641.015625,2
242,sentence-transformers/gtr-t5-base,74625.75,3
243,sentence-transformers/gtr-t5-base,74974.78125,4
244,sentence-transformers/gtr-t5-base,74625.15625,5
245,sentence-transformers/gtr-t5-base,74633.7578125,6
246,sentence-transformers/gtr-t5-base,74626.1171875,7
247,sentence-transformers/gtr-t5-base,74625.015625,8
248,google/gemma-2b-it,89520912.0,1
249,google/gemma-2b-it,86923696.0,2
250,google/gemma-2b-it,86914328.0,3
251,google/gemma-2b-it,86931680.0,4
252,google/gemma-2b-it,94531552.0,5
253,google/gemma-2b-it,86913616.0,6
254,google/gemma-2b-it,86913376.0,7
255,google/gemma-2b-it,90360928.0,8
256,sentence-transformers/all-MiniLM-L6-v2,144929.890625,1
257,sentence-transformers/all-MiniLM-L6-v2,144929.09375,2
258,sentence-transformers/all-MiniLM-L6-v2,144931.046875,3
259,sentence-transformers/all-MiniLM-L6-v2,144933.0625,4
260,sentence-transformers/all-MiniLM-L6-v2,144948.78125,5
261,sentence-transformers/all-MiniLM-L6-v2,144977.0625,6
262,sentence-transformers/all-MiniLM-L6-v2,144933.78125,7
263,sentence-transformers/all-MiniLM-L6-v2,144957.140625,8
264,sentence-transformers/gtr-t5-xl,82933.625,1
265,sentence-transformers/gtr-t5-xl,82935.765625,2
266,sentence-transformers/gtr-t5-xl,82931.7265625,3
267,sentence-transformers/gtr-t5-xl,83312.546875,4
268,sentence-transformers/gtr-t5-xl,82936.6328125,5
269,sentence-transformers/gtr-t5-xl,82941.3515625,6
270,sentence-transformers/gtr-t5-xl,82986.9375,7
271,sentence-transformers/gtr-t5-xl,82933.265625,8
272,sentence-transformers/allenai-specter,20375148.0,1
273,sentence-transformers/allenai-specter,20377604.0,2
274,sentence-transformers/allenai-specter,20341804.0,3
275,sentence-transformers/allenai-specter,20655646.0,4
276,sentence-transformers/allenai-specter,20673684.0,5
277,sentence-transformers/allenai-specter,20713628.0,6
278,sentence-transformers/allenai-specter,20454808.0,7
279,sentence-transformers/allenai-specter,20369504.0,8
280,jinaai/jina-embedding-s-en-v1,48270.93359375,1
281,jinaai/jina-embedding-s-en-v1,49456.03125,2
282,jinaai/jina-embedding-s-en-v1,49460.640625,3
283,jinaai/jina-embedding-s-en-v1,48487.9375,4
284,jinaai/jina-embedding-s-en-v1,48274.73046875,5
285,jinaai/jina-embedding-s-en-v1,49431.4453125,6
286,jinaai/jina-embedding-s-en-v1,48335.15625,7
287,jinaai/jina-embedding-s-en-v1,48951.671875,8
288,intfloat/multilingual-e5-small,34988.2265625,1
289,intfloat/multilingual-e5-small,34988.47265625,2
290,intfloat/multilingual-e5-small,34988.7578125,3
291,intfloat/multilingual-e5-small,34988.8671875,4
292,intfloat/multilingual-e5-small,34987.88671875,5
293,intfloat/multilingual-e5-small,34989.515625,6
294,intfloat/multilingual-e5-small,34988.5859375,7
295,intfloat/multilingual-e5-small,34989.51171875,8
296,WhereIsAI/UAE-Large-V1,26744768.0,1
297,WhereIsAI/UAE-Large-V1,26752456.0,2
298,WhereIsAI/UAE-Large-V1,26465780.0,3
299,WhereIsAI/UAE-Large-V1,26700974.0,4
300,WhereIsAI/UAE-Large-V1,26464004.0,5
301,WhereIsAI/UAE-Large-V1,26480510.0,6
302,WhereIsAI/UAE-Large-V1,26462280.0,7
303,WhereIsAI/UAE-Large-V1,26466704.0,8
304,croissantllm/base_50k,37225984.0,1
305,croissantllm/base_50k,37225832.0,2
306,croissantllm/base_50k,37226272.0,3
307,croissantllm/base_50k,37226372.0,4
308,croissantllm/base_50k,37226100.0,5
309,croissantllm/base_50k,37226008.0,6
310,croissantllm/base_50k,37227376.0,7
311,croissantllm/base_50k,37231460.0,8
312,sentence-transformers/sentence-t5-large,51316.91796875,1
313,sentence-transformers/sentence-t5-large,51851.41015625,2
314,sentence-transformers/sentence-t5-large,51316.078125,3
315,sentence-transformers/sentence-t5-large,51322.8984375,4
316,sentence-transformers/sentence-t5-large,51334.640625,5
317,sentence-transformers/sentence-t5-large,51317.26171875,6
318,sentence-transformers/sentence-t5-large,51497.421875,7
319,sentence-transformers/sentence-t5-large,51331.51953125,8
320,GritLM/GritLM-7B,2600248064.0,1
321,GritLM/GritLM-7B,2600284928.0,2
322,GritLM/GritLM-7B,2600050176.0,3
323,GritLM/GritLM-7B,2605509120.0,4
324,GritLM/GritLM-7B,2600405504.0,5
325,GritLM/GritLM-7B,2600671744.0,6
326,GritLM/GritLM-7B,2600448512.0,7
327,GritLM/GritLM-7B,2600878080.0,8
328,croissantllm/base_5k,36108368.0,1
329,croissantllm/base_5k,36115576.0,2
330,croissantllm/base_5k,36108640.0,3
331,croissantllm/base_5k,36113720.0,4
332,croissantllm/base_5k,36108424.0,5
333,croissantllm/base_5k,36108056.0,6
334,croissantllm/base_5k,36112840.0,7
335,croissantllm/base_5k,36107968.0,8
336,intfloat/e5-large-v2,42448.71875,1
337,intfloat/e5-large-v2,42447.1953125,2
338,intfloat/e5-large-v2,42458.125,3
339,intfloat/e5-large-v2,42449.765625,4
340,intfloat/e5-large-v2,42448.5390625,5
341,intfloat/e5-large-v2,42448.640625,6
342,intfloat/e5-large-v2,42447.078125,7
343,intfloat/e5-large-v2,42451.3203125,8
344,TaylorAI/gte-tiny,2260417.75,1
345,TaylorAI/gte-tiny,2250466.0,2
346,TaylorAI/gte-tiny,2260801.5,3
347,TaylorAI/gte-tiny,2242763.25,4
348,TaylorAI/gte-tiny,2250194.0,5
349,TaylorAI/gte-tiny,2242781.0,6
350,TaylorAI/gte-tiny,2250196.75,7
351,TaylorAI/gte-tiny,2250176.5,8
